Product Name                                                                                                                   ,Brand Name ,Price (Ksh)  ,Discount (%) ,Total Number of Reviews ,Product Rating (out of 5)
Starlink Standard Actuated Kit                                                                                                 ,N/A        ,"KSh 29,999" ,67%          ,                      0 ,                        0
"Vitron HTC4388FS - 43"" Smart Android Frameless TV - Black"                                                                   ,N/A        ,"KSh 19,799" ,31%          ,                      0 ,                        0
Garnier Even & Matte Vitamin  C Booster Serum 30ml.                                                                            ,N/A        ,"KSh 1,400"  ,20%          ,                      0 ,                        0
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Elemental Blue"                                     ,N/A        ,"KSh 20,900" ,9%           ,                      0 ,                        0
AILYONS HD-199A Electric Dry Iron Box Silver & Black                                                                           ,N/A        ,KSh 929      ,34%          ,                      0 ,                        0
Toshiba Refurbished Dynabook Portege X20W-D 12-inch X360 Touchscreen Intel Core I3-7100U Processor 8GB RAM 256GB SSD (6M WRTY) ,N/A        ,"KSh 21,400" ,29%          ,                      0 ,                        0
Maybelline Superstay Skin Tint Shade  67 With Vitamin C                                                                        ,N/A        ,"KSh 1,875"  ,25%          ,                      0 ,                        0
"AILYONS FS-1609-K 16'' Inch Stand Fans, 5 Speed, 2PCS - White/Blue (1YR WRTY)"                                                ,N/A        ,"KSh 3,599"  ,28%          ,                      0 ,                        0
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W (1YR WRTY)"                                                     ,N/A        ,"KSh 5,450"  ,28%          ,                      0 ,                        0
"Fruit Of The Wokali  Breast Firming Cream With VitaminE, Collagen & Elastin"                                                  ,N/A        ,KSh 380      ,42%          ,                      0 ,                        0
Nunix Hair Red Blow Dryer With Beauty Accessories HD-01                                                                        ,N/A        ,KSh 915      ,N/A          ,                      0 ,                        0
NIVEA UV Face Shine Control Cream SPF 50 - 50ml                                                                                ,N/A        ,KSh 934      ,28%          ,                      0 ,                        0
Maybelline Lasting Fix Setting Spray                                                                                           ,N/A        ,"KSh 1,554"  ,30%          ,                      0 ,                        0
Maybelline Superstay Skin Tint Shade  63 With Vitamin C                                                                        ,N/A        ,"KSh 1,725"  ,31%          ,                      0 ,                        0
Garnier Pure Active 3 In1 Charcoal  Anti  Blackhead Mask Wash Scrub -150ml                                                     ,N/A        ,"KSh 1,036"  ,23%          ,                      0 ,                        0
Dr. Rashel Effective Fat Burning Tummy Slimming Line Cream- 150ml                                                              ,N/A        ,KSh 391      ,43%          ,                      0 ,                        0
NIVEA MEN Black & White Original Anti-Perspirant Spray 48h - 150ml (Pack Of 2).                                                ,N/A        ,"KSh 1,080"  ,25%          ,                      0 ,                        0
